Altium Designer Pick and Place Locations
C:\Users\michi\Documents\ELSYS\Thesis\10_2021_hlatky_michaela_schindler_tobias_leiterplattendesign_d\DAC\Project Outputs for UZ_A_DAC\ProjectRevision\Pick Place\Pick_and_Place_UZ_A_DAC_[No Variations]_Rev00.csv

========================================================================================================================
File Design Information:

Date:       25.03.22
Time:       10:43
Revision:   a10b50e091fb09504361056a9fbdc6ecbe92dfa8
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"L300","784787121","32.9594","32.9594","16.9216","16.9216","32.9594","19.4216","180","CR75NP-101KC","TopLayer"
"C810_OpAmp8","C_0603","99.2419","99.2419","97.6994","97.6994","99.9419","97.6994","180","100 nF","TopLayer"
"C810_OpAmp7","C_0603","99.1493","99.1493","85.1440","85.1440","99.8493","85.1440","180","100 nF","TopLayer"
"C810_OpAmp6","C_0603","98.9372","98.9372","72.4782","72.4782","99.6372","72.4782","180","100 nF","TopLayer"
"C810_OpAmp5","C_0603","99.0816","99.0816","60.4154","60.4154","99.7816","60.4154","180","100 nF","TopLayer"
"C810_OpAmp4","C_0603","98.9454","98.9454","48.4154","48.4154","99.6454","48.4154","180","100 nF","TopLayer"
"C810_OpAmp3","C_0603","99.3548","99.3548","36.1188","36.1188","100.0548","36.1188","180","100 nF","TopLayer"
"C810_OpAmp2","C_0603","99.1574","99.1574","23.4106","23.4106","99.8574","23.4106","180","100 nF","TopLayer"
"C810_OpAmp1","C_0603","99.2445","99.2445","10.4288","10.4288","99.9445","10.4288","180","100 nF","TopLayer"
"C809_OpAmp8","C_0603","99.2419","99.2419","96.4190","96.4190","99.9419","96.4190","180","100 nF","TopLayer"
"C809_OpAmp7","C_0603","99.1493","99.1493","83.8740","83.8740","99.8493","83.8740","180","100 nF","TopLayer"
"C809_OpAmp6","C_0603","98.9372","98.9372","71.2082","71.2082","99.6372","71.2082","180","100 nF","TopLayer"
"C809_OpAmp5","C_0603","99.0816","99.0816","59.1454","59.1454","99.7816","59.1454","180","100 nF","TopLayer"
"C809_OpAmp4","C_0603","98.9454","98.9454","47.1454","47.1454","99.6454","47.1454","180","100 nF","TopLayer"
"C809_OpAmp3","C_0603","99.3548","99.3548","34.8488","34.8488","100.0548","34.8488","180","100 nF","TopLayer"
"C809_OpAmp2","C_0603","99.1574","99.1574","22.1406","22.1406","99.8574","22.1406","180","100 nF","TopLayer"
"C809_OpAmp1","C_0603","99.2632","99.2632","8.9662","8.9662","99.9632","8.9662","180","100 nF","TopLayer"
"C502","C_0603","52.3794","52.3794","5.9842","5.9842","52.3794","6.6842","270","100 nF","TopLayer"
"C501","C_0603","46.3088","46.3088","3.6982","3.6982","46.3088","4.3982","270","100 nF","TopLayer"
"C410","C_0603","22.1488","22.1488","97.4090","97.4090","22.8488","97.4090","180","100 nF","TopLayer"
"C407","C_0603","40.5540","40.5540","94.0054","94.0054","40.5540","94.7054","270","100 nF","TopLayer"
"C404","C_0603","12.8934","12.8934","93.2942","93.2942","12.8934","93.9942","270","100 nF","TopLayer"
"C400","C_0603","24.6340","24.6340","92.9796","92.9796","24.6340","93.6796","270","10 nF","TopLayer"
"C415","C_0603","21.8596","21.8596","81.8366","81.8366","21.8596","82.5366","270","100 nF","TopLayer"
"C413","C_0603","6.4418","6.4418","83.8574","83.8574","6.4418","83.1574","90","100 nF","TopLayer"
"C605","C_0603","60.5790","60.5790","56.3522","56.3522","59.8790","56.3522","0","0.1 µF","TopLayer"
"C603","C_0603","61.7848","61.7848","60.3707","60.3707","61.0848","60.3707","0","0.1 µF","TopLayer"
"C601","C_0603","59.3846","59.3846","70.7644","70.7644","58.6846","70.7644","0","0.1 µF","TopLayer"
"C1002_DAC8","C_0603","82.4689","82.4689","95.5952","95.5952","82.4689","94.8952","90","0.1 µF","TopLayer"
"C1002_DAC7","C_0603","81.7002","81.7002","83.5914","83.5914","81.7002","82.8914","90","0.1 µF","TopLayer"
"C1002_DAC6","C_0603","81.8780","81.8780","71.3718","71.3718","81.8780","70.6718","90","0.1 µF","TopLayer"
"C1002_DAC5","C_0603","81.7510","81.7510","58.9534","58.9534","81.7510","58.2534","90","0.1 µF","TopLayer"
"C1002_DAC4","C_0603","81.5732","81.5732","46.9138","46.9138","81.5732","46.2138","90","0.1 µF","TopLayer"
"C1002_DAC3","C_0603","81.6494","81.6494","34.3916","34.3916","81.6494","33.6916","90","0.1 µF","TopLayer"
"C1002_DAC2","C_0603","81.9796","81.9796","22.0218","22.0218","81.9796","21.3218","90","0.1 µF","TopLayer"
"C1002_DAC1","C_0603","81.9070","81.9070","9.4234","9.4234","81.9070","8.7234","90","0.1 µF","TopLayer"
"C1000_DAC8","C_0603","69.1780","69.1780","91.3130","91.3130","69.1780","90.6130","90","0.1 µF","TopLayer"
"C1000_DAC7","C_0603","68.9748","68.9748","79.2226","79.2226","68.9748","78.5226","90","0.1 µF","TopLayer"
"C1000_DAC6","C_0603","69.1526","69.1526","67.0030","67.0030","69.1526","66.3030","90","0.1 µF","TopLayer"
"C1000_DAC5","C_0603","69.0256","69.0256","54.5846","54.5846","69.0256","53.8846","90","0.1 µF","TopLayer"
"C1000_DAC4","C_0603","68.8478","68.8478","42.5450","42.5450","68.8478","41.8450","90","0.1 µF","TopLayer"
"C1000_DAC3","C_0603","68.9240","68.9240","30.0228","30.0228","68.9240","29.3228","90","0.1 µF","TopLayer"
"C1000_DAC2","C_0603","69.2542","69.2542","17.6530","17.6530","69.2542","16.9530","90","0.1 µF","TopLayer"
"C1000_DAC1","C_0603","69.1816","69.1816","5.0546","5.0546","69.1816","4.3546","90","0.1 µF","TopLayer"
