Altium Designer Pick and Place Locations
C:\GIT\UltraZohm\pcb_design\uz_a_dac8831\Project Outputs for UZ_A_DAC\Rev01\Pick Place\Pick Place for UZ_A_DAC(THS).csv

========================================================================================================================
File Design Information:

Date:       23.11.23
Time:       10:21
Revision:   b0a409c2fa8d54242960dec495e3357a012adf7a
Variant:    THS
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"L3","784787121","33.6308","33.6308","19.2170","19.2170","33.6308","21.7170","180","CD75NP-101KC","TopLayer"
"C2","C_0603","8.1544","8.1544","58.6050","58.6050","7.4544","58.6050","0","100 nF","TopLayer"
"C43H","C_0603","101.2732","101.2732","97.6654","97.6654","101.9732","97.6654","180","100 nF","TopLayer"
"C43G","C_0603","100.8261","100.8261","85.2376","85.2376","101.5261","85.2376","180","100 nF","TopLayer"
"C43F","C_0603","100.6595","100.6595","72.2328","72.2328","101.3595","72.2328","180","100 nF","TopLayer"
"C43E","C_0603","100.8261","100.8261","60.0916","60.0916","101.5261","60.0916","180","100 nF","TopLayer"
"C43D","C_0603","100.1493","100.1493","47.2106","47.2106","100.8493","47.2106","180","100 nF","TopLayer"
"C43C","C_0603","99.7977","99.7977","35.0573","35.0573","100.4978","35.0573","180","100 nF","TopLayer"
"C43B","C_0603","99.3193","99.3193","22.2859","22.2859","100.0193","22.2859","180","100 nF","TopLayer"
"C43A","C_0603","99.2445","99.2445","10.4288","10.4288","99.9445","10.4288","180","100 nF","TopLayer"
"C42H","C_0603","101.2919","101.2919","96.2028","96.2028","101.9919","96.2028","180","100 nF","TopLayer"
"C42G","C_0603","100.8448","100.8448","83.7750","83.7750","101.5448","83.7750","180","100 nF","TopLayer"
"C42F","C_0603","100.6782","100.6782","70.7702","70.7702","101.3782","70.7702","180","100 nF","TopLayer"
"C42E","C_0603","100.8448","100.8448","58.6290","58.6290","101.5448","58.6290","180","100 nF","TopLayer"
"C42D","C_0603","100.1680","100.1680","45.7480","45.7480","100.8680","45.7480","180","100 nF","TopLayer"
"C42C","C_0603","99.8165","99.8165","33.5947","33.5947","100.5165","33.5947","180","100 nF","TopLayer"
"C42B","C_0603","99.3380","99.3380","20.8233","20.8233","100.0380","20.8233","180","100 nF","TopLayer"
"C42A","C_0603","99.2632","99.2632","8.9662","8.9662","99.9632","8.9662","180","100 nF","TopLayer"
"C39","C_0603","53.2602","53.2602","7.6056","7.6056","53.2602","8.3056","270","100 nF","TopLayer"
"C38","C_0603","47.1896","47.1896","5.3196","5.3196","47.1896","6.0196","270","100 nF","TopLayer"
"C24","C_0603","22.6872","22.6872","95.6059","95.6059","23.3872","95.6059","180","100 nF","TopLayer"
"C21","C_0603","41.0924","41.0924","92.2023","92.2023","41.0924","92.9023","270","100 nF","TopLayer"
"C18","C_0603","13.4318","13.4318","91.4911","91.4911","13.4318","92.1911","270","100 nF","TopLayer"
"C14","C_0603","25.1724","25.1724","91.1765","91.1765","25.1724","91.8765","270","10 nF","TopLayer"
"C29","C_0603","22.3980","22.3980","80.0335","80.0335","22.3980","80.7335","270","100 nF","TopLayer"
"C27","C_0603","6.4312","6.4312","82.0677","82.0677","6.4312","81.3677","90","100 nF","TopLayer"
"C66","C_0603","52.5343","52.5343","29.4132","29.4132","51.8343","29.4132","0","0.1 µF","TopLayer"
"C64","C_0603","56.2135","56.2135","31.9338","31.9338","55.5135","31.9338","0","0.1 µF","TopLayer"
"C62","C_0603","53.7718","53.7718","43.6118","43.6118","53.0718","43.6118","0","0.1 µF","TopLayer"
"C60H","C_0603","81.0310","81.0310","95.3098","95.3098","81.0310","94.6098","90","0.1 µF","TopLayer"
"C60G","C_0603","81.1963","81.1963","82.7821","82.7821","81.1963","82.0821","90","0.1 µF","TopLayer"
"C60F","C_0603","81.0849","81.0849","70.4601","70.4601","81.0849","69.7601","90","0.1 µF","TopLayer"
"C60E","C_0603","81.1289","81.1289","58.1799","58.1799","81.1289","57.4799","90","0.1 µF","TopLayer"
"C60D","C_0603","80.8549","80.8549","45.9884","45.9884","80.8549","45.2884","90","0.1 µF","TopLayer"
"C60C","C_0603","80.5679","80.5679","33.8351","33.8351","80.5679","33.1351","90","0.1 µF","TopLayer"
"C60B","C_0603","80.6863","80.6863","21.6113","21.6113","80.6863","20.9113","90","0.1 µF","TopLayer"
"C60A","C_0603","80.6870","80.6870","9.4700","9.4700","80.6870","8.7700","90","0.1 µF","TopLayer"
"C58H","C_0603","70.8554","70.8554","91.1014","91.1014","70.8554","90.4014","90","0.1 µF","TopLayer"
"C58G","C_0603","71.0176","71.0176","78.6167","78.6167","71.0176","77.9167","90","0.1 µF","TopLayer"
"C58F","C_0603","71.0676","71.0676","66.3671","66.3671","71.0676","65.6671","90","0.1 µF","TopLayer"
"C58E","C_0603","71.3994","71.3994","53.9750","53.9750","71.3994","53.2750","90","0.1 µF","TopLayer"
"C58D","C_0603","70.5349","70.5349","41.6000","41.6000","70.5349","40.9000","90","0.1 µF","TopLayer"
"C58C","C_0603","70.6075","70.6075","29.4132","29.4132","70.6075","28.7132","90","0.1 µF","TopLayer"
"C58B","C_0603","70.8914","70.8914","17.2974","17.2974","70.8914","16.5974","90","0.1 µF","TopLayer"
"C58A","C_0603","70.4369","70.4369","5.2842","5.2842","70.4369","4.5842","90","0.1 µF","TopLayer"
